Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Inventories of Industrial Enterprises month-end(100 million yuan),165430.20,162496.70,161019.20,,159689.90,164328.20,163117.80,161197.70,161612.30,160355.90,158734.20,160917.70,161393.90,160975.80,159898.00,,159134.40,162936.90,160831.20,158538.00,159458.60,159756.20,158123.60,159224.60,155959.10,151288.70,147823.30,,145379.40,148092.20,145384.30,142002.90,141555.30,138483.70,135326.80,134334.20,131246.00,128762.60,126325.00,,122330.60,123861.80,123133.80,121774.10,121058.40,119904.50,118323.80,119022.70,118889.90,118371.50,116061.00,,117780.20,119942.20,119377.80,118333.10,118554.50,117699.20,116199.30,117104.10,115446.90,112934.30,114465.50,,116671.30,120337.10,119787.10,118035.20,117951.70,116416.30,113768.00,114251.40,112421.80,111710.40,110242.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories of Industrial Enterprises The Same Period of Previous Year(100 million yuan),162026.20,160930.10,159747.20,,159622.40,163658.00,161720.60,159239.10,160388.10,160622.70,158848.70,159569.50,156558.80,152146.70,148705.70,,147839.30,150256.70,147657.20,144139.40,143136.80,139907.50,136251.50,135613.70,132274.50,129486.50,126728.70,,122931.30,124445.70,123498.20,122122.50,121551.20,120335.70,118736.20,119416.40,119099.20,118152.40,115807.70,,116321.70,118189.80,117515.70,116071.40,115980.10,114963.80,113411.40,114169.00,112347.80,109789.80,111449.70,,115217.80,118713.40,118413.40,116746.20,116497.70,114937.30,112251.50,112334.70,110243.60,109481.10,108045.40,,108882.10,111299.40,109441.00,107458.00,106907.30,105737.50,104438.50,105022.30,104149.20,101932.40,99961.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories of Industrial Enterprises Accumulated Growth Rate(%),2.1,1.0,0.8,,0.0,0.4,0.9,1.2,0.8,-0.2,-0.1,0.8,3.1,5.8,7.5,,7.6,8.4,8.9,10.0,11.4,14.2,16.1,17.4,17.9,16.8,16.6,,18.3,19.0,17.7,16.3,16.5,15.1,14.0,12.5,10.2,9.0,9.1,,5.2,4.8,4.8,4.9,4.4,4.3,4.3,4.3,5.8,7.8,4.1,,2.2,1.0,0.8,1.4,1.8,2.4,3.5,4.2,4.7,3.2,5.9,,7.2,8.1,9.5,9.8,10.3,10.1,8.9,8.8,7.9,9.6,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories of Mining month-end (100 million yuan),3019.80,3001.40,2954.90,,2958.00,3112.30,3072.90,3039.10,3012.00,3009.00,2964.90,2940.20,2948.70,2896.20,2832.00,,2832.50,2963.00,2848.60,2777.00,2762.80,3072.10,2678.90,2619.10,2601.80,2504.30,2429.40,,2455.50,2619.50,2553.90,2468.80,2418.60,2412.00,2372.30,2386.50,2329.70,2343.70,2345.20,,2287.10,2370.00,2367.30,2334.70,2349.20,2316.80,2293.40,2325.10,2324.60,2260.10,2280.60,,2829.10,3068.50,3116.80,3061.80,3021.10,3003.30,2961.70,2954.10,2922.00,2821.90,2866.20,,2921.60,3223.10,3204.00,3163.40,3216.70,3207.00,3145.30,3152.20,3089.00,3097.20,2938.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories of Mining The Same Period of Previous Year(100 million yuan),2987.60,2928.80,2856.20,,2937.40,3047.00,2940.00,2872.60,2857.00,3162.40,2802.40,2752.10,2715.90,2633.60,2550.70,,2570.20,2732.30,2675.50,2592.60,2533.90,2523.00,2478.50,2504.40,2436.40,2435.20,2423.20,,2366.10,2451.40,2441.60,2405.00,2411.60,2374.20,2340.30,2357.30,2346.20,2293.30,2314.70,,2343.10,2541.80,2543.50,2495.40,2464.80,2429.80,2398.30,2405.30,2342.00,2239.70,2387.70,,2864.30,3136.20,3126.50,3076.00,3131.20,3060.70,2986.00,2994.70,2944.00,2956.40,2816.70,,2974.30,3257.60,3219.00,3229.10,3224.40,3260.00,3264.10,3290.00,3232.90,3195.70,3204.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories of Mining Accumulated Growth Rate(%),1.1,2.5,3.5,,0.7,2.1,4.5,5.8,5.4,-4.9,5.8,6.8,8.6,10.0,11.0,,10.2,8.4,6.5,7.1,9.0,21.8,8.1,4.6,6.8,2.8,0.3,,3.8,6.9,4.6,2.7,0.3,1.6,1.4,1.2,-0.7,2.2,1.3,,-2.4,-6.8,-6.9,-6.4,-4.7,-4.7,-4.4,-3.3,-0.7,0.9,-4.5,,-1.2,-2.2,-0.3,-0.5,-3.5,-1.9,-0.8,-1.4,-0.7,-4.5,1.8,,-1.8,-1.1,-0.5,-2.0,-0.2,-1.6,-3.6,-4.2,-4.5,-3.1,-8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories of Mining and Washing of Coal month-end (100 million yuan),1485.50,1477.60,1462.30,,1414.20,1505.50,1492.00,1465.30,1451.10,1473.20,1481.40,1459.70,1466.00,1454.50,1396.50,,1442.10,1518.00,1411.70,1360.60,1357.90,1364.10,1322.50,1289.20,1287.30,1244.50,1197.80,,1242.40,1350.00,1300.60,1223.00,1179.90,1166.70,1145.10,1153.90,1134.70,1163.80,1170.00,,1146.20,1205.40,1213.20,1202.90,1195.90,1176.00,1160.10,1174.70,1173.20,1146.70,1157.60,,1598.10,1701.50,1714.30,1680.10,1641.80,1612.60,1598.50,1590.10,1599.50,1561.50,1614.20,,1668.80,1817.20,1801.00,1783.90,1822.40,1825.30,1793.80,1794.90,1780.20,1804.70,1679.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories of Mining and Washing of Coal The Same Period of Previous Year(100 million yuan),1491.50,1480.50,1422.10,,1484.40,1551.80,1445.60,1395.10,1390.10,1397.00,1370.60,1338.70,1331.80,1290.60,1238.70,,1293.80,1397.20,1357.80,1277.20,1225.60,1202.90,1178.30,1198.10,1171.70,1196.30,1196.80,,1183.50,1244.10,1251.40,1236.20,1230.30,1205.80,1184.50,1196.30,1196.90,1166.30,1175.10,,1158.50,1224.80,1225.40,1206.20,1173.00,1158.50,1152.60,1149.40,1133.20,1098.90,1240.40,,1621.70,1730.90,1727.90,1699.40,1734.50,1712.80,1677.60,1677.90,1670.50,1698.00,1595.70,,1695.20,1823.60,1786.60,1764.40,1762.10,1777.90,1795.40,1827.90,1792.30,1804.90,1854.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories of Mining and Washing of Coal Accumulated Growth Rate(%),-0.4,-0.2,2.8,,-4.7,-3.0,3.2,5.0,4.4,5.5,8.1,9.0,10.1,12.7,12.7,,11.5,8.6,4.0,6.5,10.8,13.4,12.2,7.6,9.9,4.0,0.1,,5.0,8.5,3.9,-1.1,-4.1,-3.2,-3.3,-3.5,-5.2,-0.2,-0.4,,-1.1,-1.6,-1.0,-0.3,2.0,1.5,0.7,2.2,3.5,4.3,-6.7,,-1.5,-1.7,-0.8,-1.1,-5.3,-5.9,-4.7,-5.2,-4.3,-8.0,1.2,,-1.6,-0.4,0.8,1.1,3.4,2.7,-0.1,-1.8,-0.7,0.0,-9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories of Extraction of Petroleum and Natural Gas month-end(100 million yuan),185.30,184.90,185.80,,185.30,206.40,198.10,193.90,202.60,198.00,190.50,188.80,185.50,180.60,190.10,,195.40,219.30,212.00,209.50,213.70,531.50,204.60,197.20,194.50,181.30,189.50,,185.10,211.60,201.10,188.60,186.30,186.80,186.50,183.60,180.90,176.40,176.70,,183.00,193.50,195.30,187.50,209.80,208.20,203.70,217.30,211.90,207.20,211.70,,200.20,249.70,245.80,234.90,258.00,241.70,230.10,239.80,223.90,217.90,213.60,,206.30,252.30,267.30,262.30,262.40,244.40,229.00,233.10,215.60,209.00,211.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
