Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Financial Costs of Industrial Enterprises Accumulated (100 million yuan),3186.50,2418.90,1578.40,,9640.60,8933.00,7987.90,7208.30,6387.80,5656.80,4608.60,4134.80,3612.40,2878.90,1867.70,,9850.30,8548.20,7628.80,7004.50,6548.50,5878.90,5023.80,4226.60,3414.80,2819.10,1885.90,,11254.70,10269.20,9284.80,8290.50,7383.50,6465.10,5567.80,4673.20,3627.90,2627.50,1762.30,,11585.90,10420.90,9369.60,8370.30,7378.60,6376.20,5411.20,4433.00,3568.90,2665.30,1675.00,,11443.10,10436.00,9518.20,8601.40,7618.20,6770.30,5849.20,4798.70,3934.10,3000.70,1963.10,,11904.90,10888.00,9947.10,9023.30,8073.40,7110.30,6170.60,5145.50,4200.30,3230.30,2067.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Costs of Industrial Enterprises Accumulated The Same Period of Previous Year(100 million yuan),3611.80,2840.10,1836.00,,9659.60,8404.40,7495.90,6899.50,6454.50,5793.90,4957.10,4182.70,3404.60,2844.60,1916.20,,11421.30,10399.10,9408.30,8399.80,7468.40,6544.20,5628.00,4725.50,3663.50,2651.00,1780.00,,11629.30,10448.30,9380.00,8381.20,7392.30,6383.60,5414.20,4429.20,3563.60,2654.00,1668.50,,11350.80,10342.10,9379.70,8436.90,7454.10,6608.10,5693.10,4674.30,3819.10,2910.00,1886.80,,11653.10,10520.00,9621.70,8735.90,7777.50,6815.40,5910.80,4884.20,3987.00,3057.70,1955.70,,11834.10,10732.90,9766.30,8835.40,7847.80,6831.50,5856.90,4781.50,3802.90,2851.20,1841.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Costs of Industrial Enterprises Accumulated Growth Rate(%),-11.8,-14.8,-14.0,,-0.2,6.3,6.6,4.5,-1.0,-2.4,-7.0,-1.1,6.1,1.2,-2.5,,-13.8,-17.8,-18.9,-16.6,-12.3,-10.2,-10.7,-10.6,-6.8,6.3,5.9,,-3.2,-1.7,-1.0,-1.1,-0.1,1.3,2.8,5.5,1.8,-1.0,5.6,,2.1,0.8,-0.1,-0.8,-1.0,-3.5,-5.0,-5.2,-6.6,-8.4,-11.2,,-1.8,-0.8,-1.1,-1.5,-2.0,-0.7,-1.0,-1.8,-1.3,-1.9,0.4,,0.6,1.4,1.9,2.1,2.9,4.1,5.4,7.6,10.4,13.3,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Costs of Mining Accumulated(100 million yuan),344.60,259.60,156.60,,1015.60,934.10,859.20,787.90,695.50,613.40,541.50,457.20,374.10,277.40,182.20,,1215.10,1066.20,968.20,895.20,807.10,709.30,613.40,507.20,416.70,322.90,195.50,,1339.00,1190.70,1090.40,982.00,869.10,751.30,638.30,528.20,422.80,319.70,199.90,,1212.60,1078.40,983.10,889.80,793.30,695.20,600.20,496.40,402.90,303.70,188.10,,1382.10,1281.70,1167.00,1064.20,918.10,802.00,690.60,569.40,456.20,336.40,207.80,,1319.00,1238.10,1129.30,1020.00,910.00,808.70,703.20,570.70,456.10,349.10,212.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Costs of Mining Accumulated The Same Period of Previous Year(100 million yuan),375.30,278.40,182.40,,1200.80,1056.90,962.80,889.80,804.60,708.50,618.90,511.50,418.30,324.90,198.70,,1358.80,1205.50,1101.70,994.60,879.60,769.50,662.50,547.70,437.10,328.60,208.90,,1286.30,1139.30,1039.10,937.10,828.40,715.40,610.00,502.80,408.10,307.10,190.50,,1279.70,1195.80,1084.00,983.10,846.80,738.00,634.00,521.00,414.40,306.90,185.00,,1289.10,1192.30,1100.60,988.60,887.30,778.70,679.40,550.30,445.80,336.00,207.90,,1303.70,1185.00,1076.60,978.10,857.50,750.90,651.90,537.20,423.50,316.20,206.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Costs of Mining Accumulated Growth Rate(%),-8.2,-6.8,-14.1,,-15.4,-11.6,-10.8,-11.5,-13.6,-13.4,-12.5,-10.6,-10.6,-14.6,-8.3,,-10.6,-11.6,-12.1,-10.0,-8.2,-7.8,-7.4,-7.4,-4.7,-1.7,-6.4,,4.1,4.5,4.9,4.8,4.9,5.0,4.6,5.1,3.6,4.1,4.9,,-5.2,-9.8,-9.3,-9.5,-6.3,-5.8,-5.3,-4.7,-2.8,-1.0,1.7,,7.2,7.5,6.0,7.6,3.5,3.0,1.6,3.5,2.3,0.1,0.0,,1.2,4.5,4.9,4.3,6.1,7.7,7.9,6.2,7.7,10.4,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Costs of Mining and Washing of Coal Accumulated(100 million yuan),202.20,153.10,86.90,,610.30,556.40,517.20,481.10,423.00,377.40,336.50,283.20,238.20,177.00,113.10,,775.50,665.40,604.60,567.10,512.40,453.10,394.60,320.30,267.20,213.00,122.10,,876.90,760.70,696.70,629.80,550.60,470.70,401.30,331.10,265.60,201.40,122.20,,764.80,673.50,614.30,560.50,493.50,432.90,373.70,304.40,250.20,190.00,111.90,,901.00,835.60,765.60,705.40,594.10,526.10,456.30,370.40,300.00,219.50,136.20,,924.70,868.30,803.50,726.50,642.20,577.30,506.10,405.40,321.10,250.20,141.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Costs of Mining and Washing of Coal Accumulated The Same Period of Previous Year(100 million yuan),240.20,178.50,114.20,,771.70,667.30,608.30,570.50,517.00,457.40,399.20,323.10,268.00,214.20,124.10,,888.70,770.20,703.00,637.30,556.70,485.90,418.30,344.40,274.90,206.60,128.80,,811.80,712.30,650.10,589.90,513.50,440.00,379.30,308.50,253.80,191.90,113.30,,805.90,756.60,689.40,631.40,530.20,467.10,403.80,326.10,261.40,192.20,114.90,,901.80,829.10,773.40,696.30,621.60,549.20,484.10,381.90,311.40,236.70,137.40,,934.30,860.10,784.40,714.90,620.30,547.80,478.40,398.80,313.30,234.50,147.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Costs of Mining and Washing of Coal Accumulated Growth Rate(%),-15.8,-14.2,-23.9,,-20.9,-16.6,-15.0,-15.7,-18.2,-17.5,-15.7,-12.3,-11.1,-17.4,-8.9,,-12.7,-13.6,-14.0,-11.0,-8.0,-6.8,-5.7,-7.0,-2.8,3.1,-5.2,,8.0,6.8,7.2,6.8,7.2,7.0,5.8,7.3,4.6,5.0,7.9,,-5.1,-11.0,-10.9,-11.2,-6.9,-7.3,-7.5,-6.7,-4.3,-1.1,-2.6,,-0.1,0.8,-1.0,1.3,-4.4,-4.2,-5.7,-3.0,-3.7,-7.3,-0.9,,-1.0,1.0,2.4,1.6,3.5,5.4,5.8,1.7,2.5,6.7,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Costs of Extraction of Petroleum and Natural Gas Accumulated(100 million yuan),50.60,36.00,30.20,,133.20,130.10,115.20,100.90,94.80,78.60,64.70,58.80,41.40,28.40,24.90,,151.10,147.50,132.10,117.20,109.50,93.00,76.80,71.80,55.70,38.10,30.20,,153.10,149.50,135.70,122.10,113.70,98.50,83.50,73.60,58.40,42.80,32.90,,166.40,150.50,137.20,122.80,116.60,102.90,89.70,83.00,65.40,48.10,36.40,,193.70,184.20,164.10,145.80,136.20,112.30,95.70,87.00,66.90,48.20,29.00,,115.00,118.10,105.80,94.00,89.90,76.80,63.70,59.50,45.20,32.50,29.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
