Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Total Liabilities of Industrial Enterprises month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622963.40,626534.80,620996.70,615691.70,608510.70,603414.60,599720.50,596562.00,592406.80,585653.00,576996.50,,596034.00,593634.50,584043.20,576855.30,571316.20,565489.50,563204.90,559587.40,557681.40,552203.20,543836.10,,561560.30,563596.20,557675.60,551914.40,547847.90,542169.80,539730.80,535150.50,528664.60,521643.10,514508.30,
Total Liabilities of Industrial Enterprises The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589273.00,589293.80,582010.80,576851.60,571862.40,566146.40,563840.40,560242.60,555122.20,549614.90,541187.10,,560517.30,562020.10,555518.20,550815.40,546285.30,541009.90,538190.10,533558.80,531928.80,524988.50,515337.50,,531997.80,535069.70,528329.60,523719.80,517890.70,512757.00,510731.90,506131.20,498946.40,490341.70,481438.40,
Total Liabilities of Industrial Enterprises Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,6.3,6.7,6.7,6.4,6.6,6.4,6.5,6.7,6.6,6.6,,6.3,5.6,5.1,4.7,4.6,4.5,4.6,4.9,4.8,5.2,5.5,,5.6,5.3,5.6,5.4,5.8,5.7,5.7,5.7,6.0,6.4,6.9,
Total Liabilities of Mining and Washing of Coal month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37465.20,37725.40,37419.40,37460.30,37410.20,37227.10,37119.40,36890.60,36761.70,36096.90,36321.80,,37578.00,37648.80,37488.50,36978.00,36897.00,36623.10,36439.70,36441.80,36813.20,36386.50,36516.80,,36809.10,36939.20,36556.90,36182.90,35817.60,35609.00,35324.00,34853.70,34348.00,33568.40,32913.00,
Total Liabilities of Mining and Washing of Coal The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36912.40,36777.50,36669.70,36224.40,36101.30,35794.60,35663.10,35666.40,35678.90,35351.40,35020.50,,36254.70,36167.60,35859.50,35513.90,35173.10,34992.40,34747.60,34301.20,34203.90,33358.80,32560.40,,33349.00,33355.70,33205.30,32793.90,32401.20,32043.30,31814.80,31713.50,31347.40,30672.00,30327.90,
Total Liabilities of Mining and Washing of Coal Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.6,2.0,3.4,3.6,4.0,4.1,3.4,3.0,2.1,3.7,,3.7,4.1,4.5,4.1,4.9,4.7,4.9,6.2,7.6,9.1,12.2,,10.4,10.7,10.1,10.3,10.5,11.1,11.0,9.9,9.6,9.4,8.5,
Total Liabilities of Extraction of Petroleum and Natural Gas month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8814.80,9008.00,9171.00,8858.60,8847.10,8783.70,8749.80,9182.90,9120.50,9066.30,9136.40,,9152.80,9387.00,9410.50,9318.30,9213.00,9198.20,9200.80,9828.50,9732.40,9668.20,9594.00,,9566.30,9610.10,9465.60,9430.30,9275.70,9117.10,9053.70,9574.60,9556.20,9635.20,9585.80,
Total Liabilities of Extraction of Petroleum and Natural Gas The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9111.00,9346.40,9397.80,9322.20,9225.90,9210.20,9212.90,9839.80,9741.20,9679.10,9601.60,,9587.50,9628.90,9483.50,9448.70,9294.60,9143.20,9075.70,9598.20,9581.10,9658.10,9609.10,,9296.60,9210.30,9040.60,8912.50,8691.60,8557.40,8525.60,8875.10,8738.60,8635.70,8683.10,
Total Liabilities of Extraction of Petroleum and Natural Gas Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3,-3.6,-2.4,-5.0,-4.1,-4.6,-5.0,-6.7,-6.4,-6.3,-4.8,,-4.5,-2.5,-0.8,-1.4,-0.9,0.6,1.4,2.4,1.6,0.1,-0.2,,2.9,4.3,4.7,5.8,6.7,6.5,6.2,7.9,9.4,11.6,10.4,
Total Liabilities of Mining and Processing of Ferrous Metal Ores month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5729.80,5662.10,5579.80,5622.10,5548.90,5551.20,5486.10,5502.20,5407.60,5359.50,5334.60,,5962.40,6013.90,5931.90,5846.20,5776.40,5847.40,5726.10,5702.30,5938.50,5663.40,5230.90,,5707.70,5755.90,5798.90,5742.10,5655.40,5674.70,5671.00,5586.10,5503.30,5365.10,5319.30,
Total Liabilities of Mining and Processing of Ferrous Metal Ores The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5386.60,5400.20,5319.60,5264.80,5205.80,5275.10,5158.00,5145.30,5240.10,4987.60,4915.50,,5748.20,5781.00,5799.30,5718.80,5635.70,5646.10,5647.30,5559.60,5691.00,5541.80,5178.90,,5651.40,5668.50,5652.30,5507.80,5595.50,5605.60,5502.00,5468.70,5361.90,5239.80,5083.20,
Total Liabilities of Mining and Processing of Ferrous Metal Ores Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,4.8,4.9,6.8,6.6,5.2,6.4,6.9,3.2,7.5,8.5,,3.7,4.0,2.3,2.2,2.5,3.6,1.4,2.6,4.3,2.2,1.0,,1.0,1.5,2.6,4.3,1.1,1.2,3.1,2.1,2.6,2.4,4.6,
Total Liabilities of Mining and Processing of Non-Ferrous Metal Ores month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3246.40,3255.50,3224.90,3193.10,3187.30,3157.70,3158.20,3130.40,3132.90,3079.10,3002.50,,3125.80,3164.60,3122.60,3061.30,3010.80,3022.90,3070.90,3001.50,3030.10,2983.20,2783.70,,2876.10,2850.80,2794.70,2797.40,2766.60,2748.10,2701.00,2695.40,2648.80,2610.70,2533.20,
Total Liabilities of Mining and Processing of Non-Ferrous Metal Ores The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3197.30,3215.80,3191.00,3137.90,3132.40,3144.00,3170.70,3067.00,3056.50,2948.90,2841.10,,2915.80,2883.70,2838.60,2841.80,2794.10,2760.40,2748.10,2704.80,2719.30,2674.30,2493.80,,2609.10,2613.50,2539.70,2589.70,2552.10,2524.10,2469.60,2459.20,2415.80,2311.70,2266.70,
Total Liabilities of Mining and Processing of Non-Ferrous Metal Ores Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.2,1.1,1.8,1.8,0.4,-0.4,2.1,2.5,4.4,5.7,,7.2,9.7,10.0,7.7,7.8,9.5,11.7,11.0,11.4,11.6,11.6,,10.2,9.1,10.0,8.0,8.4,8.9,9.4,9.6,9.6,12.9,11.8,
Total Liabilities of Mining and Processing of Nonmetal Ores month-end(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1772.70,1894.10,1880.80,1895.80,1849.50,1832.70,1820.50,1798.60,1794.50,1783.90,1745.00,,1826.20,1828.20,1798.00,1796.20,1778.60,1768.90,1744.40,1738.30,1759.50,1720.80,1681.10,,1776.20,1765.90,1760.80,1725.10,1708.40,1684.60,1656.10,1621.40,1614.20,1587.80,1572.60,
Total Liabilities of Mining and Processing of Nonmetal Ores The Same Period of Previous Year(100 million yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1813.50,1829.50,1817.50,1809.70,1774.90,1763.50,1747.70,1718.80,1722.20,1670.70,1633.20,,1740.10,1732.10,1714.90,1683.20,1674.80,1658.20,1636.20,1616.20,1628.10,1605.90,1586.20,,1685.60,1700.10,1710.50,1679.10,1657.50,1623.80,1605.80,1576.60,1553.70,1512.90,1469.80,
Total Liabilities of Mining and Processing of Nonmetal Ores Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2,3.5,3.5,4.8,4.2,3.9,4.2,4.6,4.2,6.8,6.8,,4.9,5.5,4.8,6.7,6.2,6.7,6.6,7.6,8.1,7.2,6.0,,5.4,3.9,2.9,2.7,3.1,3.7,3.1,2.8,3.9,5.0,7.0,
