,2020년 배출량 (톤/yr)
배출원 대분류,TSP,PM-2.5,PM-10,SOx,NOx,VOCs,NH3,CO,BC
에너지산업 연소,3158,2539,2945,29550,50200,9004,2200,68450,432
비산업 연소,1106,774,1008,7841,83337,2842,1559,40898,183
제조업 연소,9424,2482,5628,25337,124737,2894,1147,19191,173
생산공정,11259,4891,6395,88109,37795,185822,41953,25826,15
에너지수송 및 저장,,,,,,24107,,,
유기용제 사용,,,,,,544279,,,
도로이동오염원,3498,3218,3498,248,287279,29502,1706,134629,1853
비도로이동오염원,16009,14865,16009,8451,281764,64810,111,176633,5990
폐기물처리,418,256,315,1382,10757,54376,23,2235,4
농업,,,,,,,200384,,
기타 면오염원,480,274,305,,158,631,12910,6473,16
비산먼지,322627,16480,96413,,,,,,125
생물성 연소,28110,11536,13868,77,8428,84543,15,220482,2183
합계,396089,57317,146383,160993,884454,1002810,262008,694817,10975
